RAJ2000,DEJ2000,R,GCVS,RAJ2000,DEJ2000,VarType,l_Maxmag,Maxmag,n_Maxmag,l_Minmag,Minmag,n_Minmag,Names
6.0208333,-72.0851389,*,Tuc      ,00 24 05.00,-72 05 06.5,CV:    , ,21.1,w, ,    , ,NGC 104-W35
6.0214167,-72.0726389,*,Tuc      ,00 24 05.14,-72 04 21.5,CV     , ,21.4,V, ,    , ,NGC 104-W33
6.0218333,-72.0808611, ,Tuc      ,00 24 05.24,-72 04 51.1,CV:    , ,19.9,U, ,    , ,NGC 104 Edmonds V7
6.023375,-72.0846111,*,Tuc      ,00 24 05.61,-72 05 04.6,CV:    , ,22.8,w, ,    , ,NGC 104-W31
6.0235417,-72.0803333,*,Tuc      ,00 24 05.65,-72 04 49.2,CV:    , ,    , , ,    , ,NGC 104-W32
6.0250833,-72.0821667,*,Tuc      ,00 24 06.02,-72 04 55.8,UG     , ,15.4,f, ,20.4,V,NGC 104 PC1-V53
6.0254167,-72.0785833,*,Tuc      ,00 24 06.10,-72 04 42.9,CV     , ,23.1,V, ,    , ,NGC 104-W27
6.0260833,-72.0794167,*,Tuc      ,00 24 06.26,-72 04 45.9,CV:    , ,18.5,V, ,    , ,NGC 104 PC1-V52
6.0265833,-72.08025,*,Tuc      ,00 24 06.38,-72 04 48.9,CV:    , ,    , , ,    , ,NGC 104 CV
6.0267917,-72.0852778,*,Tuc      ,00 24 06.43,-72 05 07.0,CV:    , ,    , , ,    , ,NGC 104 CV
6.027125,-72.0811111,*,Tuc      ,00 24 06.51,-72 04 52.0,CV     , ,    , , ,    , ,NGC 104 PC1-V36
6.0274583,-72.0844722,*,Tuc      ,00 24 06.59,-72 05 04.1,CV:    , ,    , , ,    , ,NGC 104 CV
6.0275833,-72.08225,*,Tuc      ,00 24 06.62,-72 04 56.1,CV:    , ,    , , ,    , ,NGC 104 CV
6.0283333,-72.0861667,*,Tuc      ,00 24 06.80,-72 05 10.2,CV:    , ,    , , ,    , ,NGC 104 CV
6.0285833,-72.0960278,*,Tuc      ,00 24 06.86,-72 05 45.7,CV     , ,21.3,V, ,    , ,NGC 104-W25
6.0287083,-72.0813889,*,Tuc      ,00 24 06.89,-72 04 53.0,CV:    , ,    , , ,    , ,NGC 104 CV
6.03125,-72.0908889,*,Tuc      ,00 24 07.50,-72 05 27.2,CV     , ,20.9,V, ,    , ,NGC 104-W21
6.033,-72.0818889,*,Tuc      ,00 24 07.92,-72 04 54.8,CV:    , ,    , , ,    , ,NGC 104-W20
6.034125,-72.0833889,*,Tuc      ,00 24 08.19,-72 05 00.2,CV     , ,22.5,V, ,    , ,NGC 104-W15
6.0345,-72.0765833,*,Tuc      ,00 24 08.28,-72 04 35.7,CV:    , ,    , , ,    , ,NGC 104-W16
6.035125,-72.0851111,*,Tuc      ,00 24 08.43,-72 05 06.4,CV:    , ,    , , ,    , ,NGC 104 CV
6.035375,-72.0833056,*,Tuc      ,00 24 08.49,-72 04 59.9,CV:    , ,    , , ,    , ,NGC 104 CV
6.0359583,-72.0830278,*,Tuc      ,00 24 08.63,-72 04 58.9,CV:    , ,    , , ,    , ,NGC 104 CV
6.036,-72.0851389,*,Tuc      ,00 24 08.64,-72 05 06.5,CV:    , ,    , , ,    , ,NGC 104 CV
6.0369167,-72.0837778,*,Tuc      ,00 24 08.86,-72 05 01.6,CV:    , ,    , , ,    , ,NGC 104 CV
6.0378333,-72.0955278,*,Tuc      ,00 24 09.08,-72 05 43.9,CV:    , ,21.6,w, ,    , ,NGC 104-W140
6.0417917,-72.081,*,Tuc      ,00 24 10.03,-72 04 51.6,CV:    , ,17.6,V, ,    , ,NGC 104 Edmonds V5
6.041875,-72.0781111,*,Tuc      ,00 24 10.05,-72 04 41.2,CV:    , ,    , , ,    , ,NGC 104-W10
6.04325,-72.0881111,*,Tuc      ,00 24 10.38,-72 05 17.2,CV:    , ,20.9,V, ,    , ,NGC 104-W71
6.0437917,-72.0737778,*,Tuc      ,00 24 10.51,-72 04 25.6,CV     , ,21.7,V, ,    , ,NGC 104-W8
6.0450417,-72.1055278,*,Tuc      ,00 24 10.81,-72 06 19.9,CV     , ,22.7,V, ,    , ,NGC 104-W120
6.0484583,-72.0789167,*,Tuc      ,00 24 11.63,-72 04 44.1,CV     , ,23.3,V, ,    , ,NGC 104-W70
6.0616667,-72.0995,*,Tuc      ,00 24 14.80,-72 05 58.2,CV:    , ,17.7,V, ,    , ,NGC 104 WF4-V26
6.0618333,-72.0624444,*,Tuc      ,00 24 14.84,-72 03 44.8,CV:    , ,21.3,V, ,    , ,NGC 104 WF2-V30
6.065125,-72.07675,*,Tuc      ,00 24 15.63,-72 04 36.3,CV     , ,21.5,V, ,    , ,NGC 104-W2
6.0696667,-72.0741944,*,Tuc      ,00 24 16.72,-72 04 27.1,CV     , ,20.4,V, ,    , ,NGC 104-W1
6.2189583,-1.8931667,*,Psc3     ,00 24 52.55,-01 53 35.4,UG:    , ,15,p, ,    , ,NSV 15086
6.2203333,-72.0575,*,Tuc      ,00 24 52.88,-72 03 27.0,CV:    , ,20.2,V, ,    , ,NGC 104-B7
6.2962147,12.2867507,*,Psc      ,00 25 11.07,+12 17 12.1,UGWZ   , ,10.5,V, ,17.5,B,ASAS J002511+1217.2
6.5158348,-9.5058323, ,Cet      ,00 26 03.80,-09 30 21.0,NL     , ,20.2,g, ,    , ,SDSS J002603-093021
6.8667024,-1.1412454, ,EN Cet   ,00 27 28.01,-01 08 28.5,CV/UG: , ,14.5,R,<,18.5,R,BAO 04
7.2035,59.2895278,*,V709 Cas ,00 28 48.84,+59 17 22.3,DQ     , ,14.8,B, ,15.4,B,Cas2; RX J0028+5917
7.5242083,26.2906944, ,PX And   ,00 30 05.81,+26 17 26.5,NL/VY  , ,15,V, ,17,V,And1; PG 0027+260
7.8995417,43.8181944, ,HQ And   ,00 31 35.89,+43 49 05.5,CV     , ,15,p, ,16.2,p,S 10774
8.0425417,41.9695556,*,LS And   ,00 32 10.21,+41 58 10.4,NA:    , ,11.7,p, ,20.5,p,NSV 191
8.09625,25.8058333,*,And      ,00 32 23.10,+25 48 21.0,N::    , ,9.5,p, ,15,p,NSV 15112
8.3932917,-19.3593611,*,Cet6     ,00 33 34.39,-19 21 33.7,non-CV , ,    , , ,    , ,KUV 00311-1938
8.4315417,-28.212, ,Cet      ,00 33 43.57,-28 12 43.2,CV:    , ,20.6,b, ,    , ,2QZ J003343.5-281243
8.5041667,-73.2711667,*,VZ Tuc   ,00 34 01.00,-73 16 16.2,NA     , ,11.4,p,<,18,p,HV 6334
8.50725,-28.1383333, ,Cet      ,00 34 01.74,-28 08 18.0,CV:    , ,20.5,b, ,    , ,2QZ J003401.7-280819
8.7,10.3,*,Psc      ,00 34 48.00,+10 18 00.0,non-ex , ,    , , ,    , ,NSV 206
8.8512083,39.7714444,*,LT And   ,00 35 24.29,+39 46 17.2,UG     , ,18.1,B, ,19.4,B,M31 V0011
9.4595833,41.3533333,*,And      ,00 37 50.30,+41 21 12.0,N:     , ,19.6,B, ,    , ,S 10754
9.6983333,41.0769444,*,And      ,00 38 47.60,+41 04 37.0,N:     , ,17.2,B, ,21,B,NSV 238
9.72825,61.2167222,*,KP Cas   ,00 38 54.78,+61 13 00.2,UGSS   , ,15.2,p, ,20,p,S 3865
9.92112,0.9077131, ,Cet      ,00 39 41.07,+00 54 27.7,CV     , ,20.6,s, ,    , ,SDSS J003941+005427
10.1014583,41.0675278,*,PT And   ,00 40 24.35,+41 04 03.1,UG/RN  , ,16.3,B,<,22,B,Rosino N 15
10.230875,43.4165,*,HV And   ,00 40 55.41,+43 24 59.4,NL     , ,15.2,B, ,16.8,B,S 10777
10.3486667,41.2501111,*,And      ,00 41 23.68,+41 15 00.4,UG:    , ,16.4,p, ,    , ,Rosino N 66
10.4205,41.0601667,*,And      ,00 41 40.92,+41 03 36.6,NR:    , ,16.9,p, ,    , ,Rosino N 39
10.4644167,26.6225833,*,LL And   ,00 41 51.46,+26 37 21.3,UGSU   , ,13.8,V, ,20,V,
10.7382083,-73.3811944, ,Tuc      ,00 42 57.17,-73 22 52.3,UG:    , ,18.2,I, ,20.7,I,OGLE 004257-732252
10.7401667,41.1366389,*,And      ,00 42 57.64,+41 08 11.9,UG:    , ,17.8,p, ,    , ,Rosino N 48
10.7766667,41.5037222,*,And      ,00 43 06.40,+41 30 13.4,UGZ:   , ,18.2,V,<,23,V,D31J04306.4+413013
10.785875,41.2132222,*,And      ,00 43 08.61,+41 12 47.6,AM/DQ::, ,    , , ,    , ,XMMU J004308+411247
10.8964034,-0.6249501,*,Cet      ,00 43 35.14,-00 37 29.8,CV     , ,19.8,s, ,    , ,SDSS J004335-003729
11.005625,9.5495278,*,BL Psc   ,00 44 01.35,+09 32 58.3,non-CV , ,    , , ,    , ,RE 0044+093
12.0792917,39.6866667,*,IO And   ,00 48 19.03,+39 41 12.0,non-CV , ,    , , ,    , ,S 10785
12.2564583,56.8789167, ,GX Cas   ,00 49 01.55,+56 52 44.1,UGSU   , ,13.3,V, ,18.5,V,S 3330
12.4833333,43.6291667,*,And      ,00 49 56.00,+43 37 45.0,N:     , ,16.5,B, ,21,B,NSV 312
12.5041667,43.5655556,*,And      ,00 50 01.00,+43 33 56.0,N:     , ,16.2,B, ,21,B,NSV 313
12.7120074,0.1535374, ,Cet      ,00 50 50.88,+00 09 12.7,CV     , ,20.4,s, ,    , ,SDSS J005050+000912
12.862375,9.3591111,*,Psc      ,00 51 26.97,+09 21 32.8,non-CV , ,    , , ,    , ,PG 0048+091
13.07525,53.8639167,*,V452 Cas ,00 52 18.06,+53 51 50.1,UGSU   , ,14.5,V, ,18.7,V,S 10453
13.4172083,17.1621389,*,Psc1     ,00 53 40.13,+17 09 43.7,non-CV , ,    , , ,    , ,PG 0051+169
14.3255,-72.7097222, ,Tuc      ,00 57 18.12,-72 42 35.0,N/Z AND, ,15.5,I, ,21,I,OGLE 005718-724235
14.8684583,-26.5152222,*,Scl2     ,00 59 28.43,-26 30 54.8,non-CV , ,    , , ,    , ,LTT 560/G 269-70
15.287125,43.3905, ,IW And   ,01 01 08.91,+43 23 25.8,UGZ    , ,14.2,p, ,17.4,p,S 10792
16.1480833,41.2993889,*,RX And   ,01 04 35.54,+41 17 57.8,UGZ    , ,10.9,v, ,12.6,v,1E 0101+4101
16.272375,54.01125,*,V723 Cas ,01 05 05.37,+54 00 40.5,NB     , ,7.1,V,<,18,V,
16.7661667,42.7200833, ,IZ And   ,01 07 03.88,+42 43 12.3,UG     , ,15.6,p, ,20.5,p,S 10794
17.395125,-8.0092222, ,Cet7     ,01 09 34.83,-08 00 33.2,NL:    , ,15,p, ,    , ,FBS 0107-082
17.4424583,-27.7565,*,Scl      ,01 09 46.19,-27 45 23.4,CV     , ,19.9,b, ,    , ,2QZ J010946.1-274524
17.4967083,28.02375,*,Psc      ,01 09 59.21,+28 01 25.5,non-CV , ,    , , ,    , ,
17.5469583,3.54275, ,XY Psc   ,01 10 11.27,+03 32 33.9,UG:    , ,13,p,<,18.5,p,
17.5546667,60.0765833,*,HT Cas   ,01 10 13.12,+60 04 35.7,UGSU   , ,10.8,v, ,18.4,v,S 3343
17.9899583,35.2900278, ,FN And   ,01 11 57.59,+35 17 24.1,UG     , ,13.5,p, ,19.3,V,S 9505
18.2495417,62.1798889,*,V418 Cas ,01 12 59.89,+62 10 47.6,non-CV , ,    , , ,    , ,S 9142
18.6833333,35.6191667,*,And3     ,01 14 44.00,+35 37 09.0,N:     , ,10,p,<,13,P,NSV 447
18.8839167,37.6265556, ,FO And   ,01 15 32.14,+37 37 35.6,UGSU   , ,13.5,v, ,17.5,v,S 9508
19.2430417,-73.7195556,*,BE Tuc   ,01 16 58.33,-73 43 10.4,non-CV , ,    , , ,    , ,HV 2205
19.2674167,-17.9396111,*,WX Cet   ,01 17 04.18,-17 56 22.6,UGWZ   , ,9.5,V, ,18.5,V,BV 416
19.40625,5.1777778,*,Psc      ,01 17 37.50,+05 10 40.0,N:     , ,18,B, ,21.5,B,NSV 15271
19.6066667,63.7022222,*,Cas3     ,01 18 25.60,+63 42 08.0,N:     , ,10,p, ,18,p,ISV 0115+63
20.3858333,9.6830556,*,AH Psc   ,01 21 32.60,+09 40 59.0,N:     , ,9.5,v,<,14,v,BD +8 215
20.7220833,-75.3538889,*,Hyi      ,01 22 53.30,-75 21 14.0,non-CV , ,    , , ,    , ,RX J012254.1-752117
20.7958333,-42.3093889,*,UY Phe   ,01 23 11.00,-42 18 33.8,non-CV , ,    , , ,    , ,S 7154
21.4140833,32.3858611,*,TY Psc   ,01 25 39.38,+32 23 09.1,UGSU   , ,11.7,V, ,16.3,V,S 10900
21.9608333,38.1368333, ,And      ,01 27 50.60,+38 08 12.6,CV     , ,17.3,B, ,    , ,1RXS J0127+3808
22.034875,31.24925,*,AS Psc   ,01 28 08.37,+31 14 57.3,UGSU:  , ,16.6,p, ,21.5,p,S 10828
22.12075,38.91025, ,And      ,01 28 28.98,+38 54 36.9,CV::   , ,15,V, ,    , ,FBS 0125+386
22.2189379,-23.6622602, ,EQ Cet   ,01 28 52.52,-23 39 43.8,AM     , ,17.5,V, ,18.9,V,1RXS J012852-233931
22.4169167,38.7028889, ,And      ,01 29 40.06,+38 42 10.4,IBWD   , ,19.8,s, ,    , ,SDSS J012940+384210
22.759875,57.9037222, ,KU Cas   ,01 31 02.37,+57 54 13.4,UGSS   , ,13.3,p, ,19.7,B,S 3883
22.858625,36.0443611, ,And      ,01 31 26.07,+36 02 39.7,CV     , ,16.5,B, ,    , ,RX J0131.4+3602
22.8849613,-9.0228607,*,Cet      ,01 31 32.39,-09 01 22.3,CV     , ,18.3,s, ,    , ,SDSS J013132-090122
22.9994167,29.8228056, ,TT Tri   ,01 31 59.86,+29 49 22.1,CV/NL  , ,14.7,p, ,16.7,p,GR 286; HS 0129+2933
23.1752917,-65.9090278, ,CV Hyi   ,01 32 42.07,-65 54 32.5,AM     , ,19.7,V, ,    , ,RX J0132.7-6554
24.1542083,32.0111111, ,TW Tri   ,01 36 37.01,+32 00 40.0,CV/UGZ , ,13.3,p, ,17,p,GR 292/SVS 2288
24.2310833,7.2748056, ,AY Psc   ,01 36 55.46,+07 16 29.3,UGZ    , ,15.3,V, ,17,V,NSV 564; PG 0134+070
24.254465,-9.2096556, ,Cet      ,01 37 01.07,-09 12 34.8,UGSU   , ,12.5,V, ,18.6,V,SDSS J013701-091235
24.286625,50.9556667, ,KT Per   ,01 37 08.79,+50 57 20.4,UGZ    , ,10.6,V, ,16.1,V,GR 91
24.405,30.0468889, ,TX Tri   ,01 37 37.20,+30 02 48.8,UGSS   , ,14.5,B, ,18.2,B,SVS 2289
24.8155833,31.4041944,*,TU Tri   ,01 39 15.74,+31 24 15.1,UG     , ,14.8,p, ,18.9,V,GR 287
24.9677917,29.3555,*,Tri      ,01 39 52.27,+29 21 19.8,non-CV , ,    , , ,    , ,NSV 15358/S 10832
25.251,-67.8912222,*,BL Hyi   ,01 41 00.24,-67 53 28.4,AM     , ,14.3,V, ,17.4,V,H 0139-68
25.4163333,6.2437222,*,Psc      ,01 41 39.92,+06 14 37.4,NL/UGZ:, ,15.2,B, ,    , ,HS 0139+0559
25.6053333,-22.2661944, ,Cet      ,01 42 25.28,-22 15 58.3,UGSU   , ,12.2,p, ,18.7,B,NSV 601; PHL 3638
26.2636667,37.9424167, ,AR And   ,01 45 03.28,+37 56 32.7,UG     , ,11,V, ,17.6,V,Ross 346
26.7019167,31.8735278,*,Tri      ,01 46 48.46,+31 52 24.7,non-CV , ,    , , ,    , ,RX J0146.8+3152
27.032875,-25.5450833,*,For2     ,01 48 07.89,-25 32 42.3,non-CV , ,    , , ,    , ,GD 1401
27.827375,-2.3835278, ,Cet      ,01 51 18.57,-02 23 00.7,UGSU:  , ,14,V, ,20.7,V,ROTSE3 J015118
27.966127,14.0131107,*,Ari      ,01 51 51.87,+14 00 47.2,UG     , ,15.7,p, ,20.3,s,SDSSp J015151+140047
28.3365,74.7728333,*,Cas      ,01 53 20.76,+74 46 22.2,DQ     , ,16.4,V, ,    , ,RX J0153.3+7446
28.5041667,-59.7969444, ,Hyi      ,01 54 01.00,-59 47 49.0,AM     , ,17,V, ,    , ,RXS J0154.0-5947
28.793375,69.7112222,*,Cas4     ,01 55 10.41,+69 42 40.4,NL:    , ,17.8,V, ,    , ,Lanning 159
28.931,0.4684444,*,Cet      ,01 55 43.44,+00 28 06.4,AM/NL  , ,14.7,p, ,17.6,p,SDSSp J015543+002807
29.6029167,33.525,*,UZ Tri   ,01 58 24.70,+33 31 30.0,N:     ,>,14.2,p, ,21,p,S 10911
29.919625,-28.1779444,*,For      ,01 59 40.71,-28 10 40.6,CV     , ,12,V, ,19.7,b,2QZ J015940.6-281040
29.9591667,0.395,*,Cet      ,01 59 50.20,+00 23 42.0,non-CV , ,    , , ,    , ,PG 0157+001
30.2176632,-9.4087775, ,ES Cet   ,02 00 52.24,-09 24 31.6,IBWD   , ,17.1,V, ,    , ,KUV 01584-0939
30.4746667,56.7343056, ,V Per    ,02 01 53.92,+56 44 03.5,N      , ,9.2,p, ,18.5,p,BD +56 406a
30.9525,29.9905556, ,AI Tri   ,02 03 48.60,+29 59 26.0,AM     , ,15.5,V, ,18,V,RX J0203.8+2959
31.663625,-2.0618056, ,BO Cet   ,02 06 39.27,-02 03 42.5,NL     , ,14.4,V, ,15.4,V,Cet4; 1H 0204-023
31.6854583,-2.2048056,*,Cet      ,02 06 44.51,-02 12 17.3,non-CV , ,    , , ,    , ,FBS 0204-024;PB 6657
31.7212083,15.2949444,*,TT Ari   ,02 06 53.09,+15 17 41.8,VY/DQ: , ,9.5,v, ,14.5,v,BD +14 341
32.3741667,28.5414722, ,Tri      ,02 09 29.80,+28 32 29.3,AM     , ,18.4,B, ,    , ,1RXS J020928+283243
32.4617917,-63.3110833,*,WX Hyi   ,02 09 50.83,-63 18 39.9,UGSU   , ,11.4,V, ,14.8,V,HV 8016
32.5346667,57.1892222,*,UV Per   ,02 10 08.32,+57 11 21.2,UGSU   , ,11.7,V, ,17.9,V,87.1911
33.1230833,57.0884722,*,UW Per   ,02 12 29.54,+57 05 18.5,UG OR N, ,15,p, ,18.9,V,21.1912
33.4620068,58.3810286,*,TZ Per   ,02 13 50.91,+58 22 51.9,UGZ    , ,12.3,v, ,15.6,v,28.1912
34.3077917,40.6915833, ,KV And   ,02 17 13.87,+40 41 29.7,UGSU   , ,14.6,p, ,22.5,p,SVS 2205
34.8665156,-30.7627877,*,For      ,02 19 27.97,-30 45 45.9,UGSU   , ,12.2,V, ,17.8,b,2QZ J021927.9-304545
34.9337083,40.4561944, ,LX And   ,02 19 44.09,+40 27 22.3,UG     , ,13.5,p, ,16.4,p,RRV-3
35.5683333,41.3833056,*,And      ,02 22 16.40,+41 22 59.9,UG     , ,15.5,c,<,16.5,c,TSS J022216.4+412260
35.5947917,78.9105556,*,Cep2     ,02 22 22.75,+78 54 38.0,non-CV , ,    , , ,    , ,NSV 786
35.6665833,-19.5464722,*,XX Cet   ,02 22 39.98,-19 32 47.3,non-CV , ,    , , ,    , ,PHL 4037
35.7566667,6.2810278, ,Cet      ,02 23 01.60,+06 16 51.7,NL     , ,16.3,B, ,19.3,B,HS 0220+0603
36.252,32.9989167,*,WY Tri   ,02 25 00.48,+32 59 56.1,UGSU   , ,13.8,p, ,19.1,V,S 10919
36.4006667,28.0974722,*,RW Tri   ,02 25 36.16,+28 05 50.9,UX     , ,12.6,V, ,15.6,V,5.1938
36.4792917,37.5681389, ,FS And   ,02 25 55.03,+37 34 05.3,UGSU:  , ,14.5,p,<,17.5,p,S 9519
36.5977083,71.3087222, ,AM Cas   ,02 26 23.45,+71 18 31.4,UGZ    , ,12.3,p, ,15.2,p,258.1928
37.3730833,40.0445,*,PQ And   ,02 29 29.54,+40 02 40.2,NR/UG  , ,10.1,v, ,19,V,TAV 0226+39
37.404375,52.4277778,*,Per      ,02 29 37.05,+52 25 40.0,N:     , ,8.9,v, ,14,v,NSV 837
37.7128333,-68.7015, ,Hyi      ,02 30 51.08,-68 42 05.4,AM     , ,16,V, ,18,V,1RXS J023053-684203
38.3392083,-10.7844722,*,Cet      ,02 33 21.41,-10 47 04.1,UGWZ   , ,12.1,V, ,    , ,ASAS 023322-1047.0
38.3442114,0.8498945, ,Cet      ,02 33 22.61,+00 50 59.6,CV     , ,19.9,s, ,    , ,SDSSp J023322+005059
38.8249583,41.2340556, ,KW And   ,02 35 17.99,+41 14 02.6,UG     , ,14.8,p, ,22,p,SVS 2206
38.9185,-13.3531944,*,Cet5     ,02 35 40.44,-13 21 11.5,UG:    , ,18.1,p, ,19.5,p,NSV 870
38.9924167,80.4956944, ,Cep      ,02 35 58.18,+80 29 44.5,NL/UGZ:, ,13.7,B, ,15,B,HS 0229+8016
39.0474583,-52.3203889, ,WW Hor   ,02 36 11.39,-52 19 13.4,AM     , ,17.6,V, ,21.6,V,EXO 023432-5232.3
40.5379167,43.3522222,*,Per      ,02 42 09.10,+43 21 08.0,UG/SN  , ,11.7,p, ,20,p,NSV 895
40.56725,35.6798333,*,PU Per   ,02 42 16.14,+35 40 47.4,UGWZ   , ,15.2,V,<,20,V,S 9727
40.6449583,-28.0454722, ,For      ,02 42 34.79,-28 02 43.7,UGSU   , ,18.4,V, ,20.8,V,Ha0242-2802
40.7134583,56.6920278,*,PT Per   ,02 42 51.23,+56 41 31.3,UG     , ,15,p, ,18.5,V,S 9530
40.7227083,6.796,*,Cet1     ,02 42 53.45,+06 47 45.6,CV     , ,16.4,B, ,    , ,PG 0240+066
40.7227917,38.0675833,*,PV Per   ,02 42 53.47,+38 04 03.3,UGSU   , ,14.9,p, ,19.8,V,S 9728
41.24075,27.51925,*,Ari      ,02 44 57.78,+27 31 09.3,UGSU   , ,12,p,<,16,p,NSV 907
41.3220417,33.5239722,*,UW Tri   ,02 45 17.29,+33 31 26.3,UGWZ   , ,14.7,p, ,22.6,B,SVS 2558
41.5097083,34.919, ,Per      ,02 46 02.33,+34 55 08.4,UG     , ,14.1,p,<,17.6,p,Antipin V80
41.53125,-63.5961111,*,RU Hor   ,02 46 07.50,-63 35 46.0,UGSS   , ,13.9,p, ,17.5,p,HV 11902
41.8857917,34.9744444, ,V368 Per ,02 47 32.59,+34 58 28.0,UGZ:   , ,15.2,p,<,17.5,p,S 10510
41.9009167,10.5938056, ,WX Ari   ,02 47 36.22,+10 35 37.7,UX     , ,15.3,V, ,15.8,V,PG 0244+104
42.125,17.3630556,*,SU Ari   ,02 48 30.00,+17 21 47.0,N:     , ,9.5,v,<,14.5,v,BD +16 354
42.5,37.6561111,*,PY Per   ,02 50 00.00,+37 39 22.0,CV/UGZ , ,13.8,V, ,19.8,V,S 9160
42.51275,1.1585278,*,Cet      ,02 50 03.06,+01 09 30.7,non-CV , ,    , , ,    , ,US 3215
42.6054583,-87.5062222,*,Oct      ,02 50 25.31,-87 30 22.4,NL     , ,13,p, ,14,p,LB 9963
42.8237917,5.6299167,*,Cet2     ,02 51 17.71,+05 37 47.7,CV     , ,16.2,B, ,17.6,V,PG 0248+054
43.095,58.7641667,*,V502 Cas ,02 52 22.80,+58 45 51.0,UG:    , ,16.1,r,<,17,r,GR 195
